dataset	architecture	cap_len	token_pos	mean_img_grad	mean_prevtoken_grad
mscoco	init	7	0	0.0010525555	0.017344361
mscoco	init	7	1	0.0013776663	0.022314357
mscoco	init	7	2	0.0008196064	0.015769139
mscoco	init	7	3	0.0007097344	0.012642166
mscoco	init	7	4	0.00065276655	0.013770658
mscoco	init	7	5	0.0006691234	0.016452499
mscoco	init	7	6	0.00088849646	0.02089291
mscoco	init	7	7	0.0016092827	0.013245145
mscoco	init	8	0	0.0011350204	0.017679583
mscoco	init	8	1	0.0016671334	0.021360336
mscoco	init	8	2	0.0007080894	0.011021226
mscoco	init	8	3	0.00082668575	0.013922902
mscoco	init	8	4	0.00095292355	0.017258566
mscoco	init	8	5	0.0007301695	0.015983535
mscoco	init	8	6	0.00064613525	0.019035533
mscoco	init	8	7	0.0010108195	0.022384128
mscoco	init	8	8	0.0012203794	0.0137642985
mscoco	init	9	0	0.0011687763	0.017364798
mscoco	init	9	1	0.0016595871	0.020665273
mscoco	init	9	2	0.00085798185	0.012702091
mscoco	init	9	3	0.00090647873	0.013975421
mscoco	init	9	4	0.0007873907	0.014581261
mscoco	init	9	5	0.00091355364	0.01903719
mscoco	init	9	6	0.00056962104	0.011950292
mscoco	init	9	7	0.00070969213	0.0162771
mscoco	init	9	8	0.0010241455	0.020733727
mscoco	init	9	9	0.00074001146	0.0109771285
mscoco	init	10	0	0.0012557036	0.018295014
mscoco	init	10	1	0.0016509229	0.02083818
mscoco	init	10	2	0.0007445592	0.010564642
mscoco	init	10	3	0.0008889825	0.014090764
mscoco	init	10	4	0.0009052193	0.016730629
mscoco	init	10	5	0.0008245345	0.016225247
mscoco	init	10	6	0.0008562298	0.019184163
mscoco	init	10	7	0.00050403853	0.012095951
mscoco	init	10	8	0.0005988841	0.014100978
mscoco	init	10	9	0.0009354429	0.019426439
mscoco	init	10	10	0.00040413332	0.0074977633
mscoco	init	11	0	0.0012575355	0.017306369
mscoco	init	11	1	0.0016738817	0.020154538
mscoco	init	11	2	0.0009081405	0.011659014
mscoco	init	11	3	0.0008058718	0.0118262945
mscoco	init	11	4	0.000804934	0.013818524
mscoco	init	11	5	0.00089782017	0.017715143
mscoco	init	11	6	0.0007600376	0.016815413
mscoco	init	11	7	0.00085345854	0.018374788
mscoco	init	11	8	0.0005050874	0.011974748
mscoco	init	11	9	0.0006218267	0.013959981
mscoco	init	11	10	0.00091141777	0.018043857
mscoco	init	11	11	0.00031662025	0.006000973
mscoco	init	12	0	0.0013304938	0.019915892
mscoco	init	12	1	0.001848551	0.021288795
mscoco	init	12	2	0.00062887295	0.007601781
mscoco	init	12	3	0.0010955571	0.014750571
mscoco	init	12	4	0.00082516414	0.013574816
mscoco	init	12	5	0.00089485245	0.0150779225
mscoco	init	12	6	0.0010364332	0.025131658
mscoco	init	12	7	0.00047199964	0.009471828
mscoco	init	12	8	0.00057642785	0.0115560405
mscoco	init	12	9	0.0007922456	0.01968133
mscoco	init	12	10	0.0003915461	0.009434719
mscoco	init	12	11	0.00072281674	0.013142629
mscoco	init	12	12	0.0002498561	0.005185819
mscoco	init	13	0	0.0014199121	0.020202672
mscoco	init	13	1	0.0020834305	0.021080635
mscoco	init	13	2	0.00072056835	0.010904418
mscoco	init	13	3	0.0009334579	0.013748753
mscoco	init	13	4	0.0008974858	0.015781801
mscoco	init	13	5	0.0009078796	0.017132118
mscoco	init	13	6	0.0007703581	0.016323846
mscoco	init	13	7	0.0008673847	0.020095631
mscoco	init	13	8	0.00058890285	0.0116787525
mscoco	init	13	9	0.000987732	0.017782401
mscoco	init	13	10	0.00061911583	0.01656897
