dataset	image	max_sim_image	max_sim_image_dist	med_sim_image	med_sim_image_dist	min_sim_image	min_sim_image_dist
mscoco	0	2575	0.44122713804244995	2350	0.7741232514381409	1280	0.9617575965821743
mscoco	1	2329	0.42742282152175903	1638	0.7780117988586426	4942	0.9361421465873718
mscoco	2	1272	0.3217450976371765	496	0.7892210781574249	1119	0.9373741149902344
mscoco	3	2626	0.3106849789619446	1364	0.8389826565980911	4099	0.9603587277233601
mscoco	4	344	0.5008201003074646	194	0.8475091904401779	3426	0.9706624988466501
mscoco	5	2114	0.48265671730041504	1247	0.8377709984779358	4099	0.9655832871794701
mscoco	6	4218	0.23842865228652954	2856	0.813926175236702	953	0.9338956773281097
mscoco	7	1868	0.2351316213607788	1317	0.811983659863472	2760	0.9411213621497154
mscoco	8	4331	0.38118892908096313	1663	0.760468140244484	3140	0.9414123184978962
mscoco	9	2623	0.250074565410614	2379	0.8377362340688705	2760	0.9591609500348568
mscoco	10	145	0.27620553970336914	171	0.8181934654712677	1020	0.9383455328643322
mscoco	11	4355	0.34435123205184937	1593	0.8175450414419174	3580	0.9506490416824818
mscoco	12	4787	0.41696351766586304	1283	0.7917891591787338	1426	0.9393915049731731
mscoco	13	400	0.354403555393219	4919	0.7959904968738556	4885	0.9520637579262257
mscoco	14	873	0.3321540355682373	4338	0.8310970366001129	370	0.9726731013506651
mscoco	15	1977	0.3515757918357849	4657	0.8437203168869019	2174	0.9583665728569031
mscoco	16	4542	0.5192462205886841	3973	0.7863046228885651	4708	0.9208620712161064
mscoco	17	2243	0.45418184995651245	709	0.8430798649787903	3391	0.9564669542014599
mscoco	18	424	0.4200236201286316	786	0.7338198721408844	4891	0.9103810787200928
mscoco	19	302	0.45505261421203613	618	0.773225337266922	1208	0.9373457282781601
mscoco	20	3320	0.38629472255706787	2377	0.8117089718580246	1119	0.951369721442461
mscoco	21	2367	0.3993295431137085	4933	0.8039334267377853	3896	0.9694545157253742
mscoco	22	847	0.3729567527770996	3283	0.7761691212654114	2472	0.9434363394975662
mscoco	23	3708	0.34380418062210083	980	0.8215086907148361	3294	0.9516981393098831
mscoco	24	3	0.3364177942276001	3653	0.8352116495370865	4099	0.9560357518494129
mscoco	25	4555	0.3900565505027771	4609	0.7658877372741699	1119	0.9464912377297878
mscoco	26	3026	0.46857643127441406	1390	0.8005271553993225	2957	0.9401258714497089
mscoco	27	3014	0.3849485516548157	515	0.7505038380622864	2229	0.9306993186473846
mscoco	28	4696	0.5094098746776581	4925	0.8047870844602585	2244	0.9613006189465523
mscoco	29	158	0.25165945291519165	1696	0.8124262541532516	592	0.9660456962883472
mscoco	30	3016	0.4515984058380127	927	0.7513991147279739	3079	0.9474496953189373
mscoco	31	2523	0.5508338809013367	3706	0.8480521887540817	2288	0.9455427676439285
mscoco	32	3562	0.3596814274787903	4791	0.8098154366016388	1521	0.9419192969799042
mscoco	33	4849	0.2961859703063965	3822	0.864678293466568	552	0.9691077508032322
mscoco	34	1914	0.2898794412612915	3862	0.82605941593647	3294	0.9593213200569153
mscoco	35	2642	0.3276364803314209	2033	0.8288177847862244	1640	0.9526758827269077
mscoco	36	3660	0.4894964098930359	573	0.7768007814884186	347	0.9421380236744881
mscoco	37	3575	0.31996840238571167	1077	0.7684663236141205	1712	0.9287547394633293
mscoco	38	3615	0.4054985046386719	4328	0.7691404074430466	3498	0.9432722441852093
mscoco	39	2807	0.46777045726776123	346	0.7945505976676941	1766	0.9465859942138195
mscoco	40	2286	0.45276790857315063	3244	0.8051869571208954	4748	0.9631432332098484
mscoco	41	3007	0.4555332660675049	85	0.8134504854679108	1270	0.9452746883034706
mscoco	42	837	0.39547199010849	1175	0.8280659466981888	4689	0.959755577147007
mscoco	43	4507	0.3532295823097229	1544	0.80617356300354	953	0.951337281614542
mscoco	44	191	0.3777883052825928	1522	0.8158308863639832	1157	0.9430332705378532
mscoco	45	1773	0.24943435192108154	4813	0.8418378233909607	4498	0.9679491147398949
mscoco	46	3473	0.3288368582725525	1316	0.8124288618564606	979	0.9547797739505768
mscoco	47	1172	0.534430056810379	3042	0.8337149769067764	2494	0.9553987830877304
mscoco	48	4365	0.3098336458206177	758	0.766986683011055	362	0.9340550228953362
mscoco	49	1530	0.18780863285064697	1462	0.8270909339189529	4962	0.971507728099823
mscoco	50	378	0.45526421070098877	643	0.7662747353315353	3332	0.9443831108510494
mscoco	51	697	0.46149301528930664	4906	0.7789616584777832	2441	0.9195501878857613
mscoco	52	3143	0.4923168420791626	4892	0.7903467565774918	1957	0.9387361742556095
mscoco	53	2351	0.3822675347328186	306	0.7609496563673019	2502	0.922513335943222
mscoco	54	4140	0.3723071217536926	1653	0.7737151086330414	2229	0.9214298129081726
mscoco	55	4321	0.4246079921722412	2425	0.7383521795272827	4891	0.9333701953291893
mscoco	56	4016	0.4298709034919739	1523	0.8205628246068954	4954	0.9390242025256157
mscoco	57	3101	0.29573798179626465	1738	0.7722452878952026	1712	0.9320261031389236
mscoco	58	4676	0.33306998014450073	4475	0.7863027900457382	1712	0.9505679942667484
mscoco	59	3358	0.15006577968597412	2104	0.8328879475593567	1797	0.9723242279142141
mscoco	60	834	0.24647831916809082	4855	0.8249662518501282	599	0.9609224423766136
mscoco	61	3224	0.1951872706413269	497	0.8318743854761124	4538	0.9628737159073353
mscoco	62	3064	0.23725539445877075	3119	0.8195874840021133	953	0.9590860530734062
mscoco	63	4875	0.3725668787956238	3375	0.8713791817426682	1447	0.9665103554725647
mscoco	64	4268	0.4481242895126343	1757	0.7949782907962799	347	0.9572585709393024
mscoco	65	4265	0.3527088165283203	1952	0.7281844913959503	2494	0.9364303201436996
mscoco	66	2903	0.4128022789955139	3579	0.7828379273414612	1119	0.9377637021243572
mscoco	67	3545	0.35452622175216675	936	0.866734579205513	301	0.9777548108249903
mscoco	68	1078	0.2839266061782837	407	0.7900711894035339	343	0.962258618324995
mscoco	69	3359	0.48342621326446533	1809	0.8304759562015533	3314	0.9594065509736538
mscoco	70	69	0.5345979034900665	3829	0.8058446198701859	4735	0.9402818493545055
mscoco	71	4880	0.2246050238609314	3615	0.8267855197191238	1222	0.9491005167365074
mscoco	72	4445	0.3389795422554016	4045	0.8121305704116821	3580	0.9477459713816643
mscoco	73	77	0.29422491788864136	4508	0.7741822004318237	343	0.9649854525923729
mscoco	74	2868	0.3698050379753113	297	0.799627959728241	873	0.9569158814847469
mscoco	75	217	0.3600924611091614	4887	0.7793520241975784	1218	0.9398056007921696
mscoco	76	1734	0.33580148220062256	3851	0.7704795897006989	2494	0.9377874322235584
mscoco	77	4031	0.30367445945739746	2553	0.7780073881149292	343	0.955045934766531
mscoco	78	4403	0.1921660304069519	682	0.8062157928943634	3079	0.9698519986122847
mscoco	79	3893	0.3564390540122986	2999	0.8025849461555481	1784	0.9489060342311859
mscoco	80	1068	0.3899621367454529	215	0.7305901348590851	4116	0.9141211062669754
mscoco	81	3646	0.3469296097755432	2621	0.8401824235916138	3528	0.9550652503967285
mscoco	82	1823	0.29642874002456665	4175	0.789229691028595	678	0.9353927373886108
mscoco	83	2201	0.3364388942718506	3034	0.8566112518310547	1924	0.9685976170003414
mscoco	84	2562	0.2799074053764343	162	0.8566790968179703	3580	0.9615302830934525
