dataset	architecture	distractor_name	cap_len	token_pos	corr_max	corr_mean	corr_min	corr_num_neg	corr_num_pos	dist_max	dist_mean	dist_min	dist_num_neg	dist_num_pos
mscoco	init	max	7	0	9.361712	-6.3269863	-13.674838	8647.33552631579	144.66447368421052	9.481888	-6.4228244	-13.77	8649.302631578947	142.69736842105263
mscoco	init	max	7	1	8.998408	-4.5312896	-11.099586	8421.263157894737	370.7368421052632	9.048715	-4.616044	-11.20296	8432.184210526315	359.8157894736842
mscoco	init	max	7	2	9.580453	-5.6064267	-13.1957	8495.802631578947	296.19736842105266	9.121939	-5.533989	-12.951658	8508.546052631578	283.45394736842104
mscoco	init	max	7	3	9.971219	-6.166018	-14.158088	8508.427631578947	283.57236842105266	9.56807	-6.056752	-13.916358	8521.763157894737	270.2368421052632
mscoco	init	max	7	4	10.169546	-6.8827786	-15.467259	8586.427631578947	205.57236842105263	9.905419	-6.8159323	-15.296	8596.927631578947	195.07236842105263
mscoco	init	max	7	5	10.111778	-6.318634	-14.372709	8541.03947368421	250.96052631578948	9.738148	-6.2767067	-14.2654295	8551.328947368422	240.67105263157896
mscoco	init	max	7	6	11.038757	-4.9131584	-12.467192	8388.644736842105	403.35526315789474	10.041396	-4.92193	-12.291766	8412.407894736842	379.5921052631579
mscoco	init	max	7	7	9.104321	-7.028096	-15.217401	8601.138157894737	190.86184210526315	8.869957	-6.86905	-14.961548	8599.730263157895	192.26973684210526
mscoco	init	max	8	0	9.30948	-6.270903	-13.476266	8650.696669029057	141.3033309709426	9.36125	-6.318988	-13.576828	8649.163004961021	142.83699503897944
mscoco	init	max	8	1	8.83346	-4.558179	-11.044076	8430.67399007796	361.3260099220411	8.969985	-4.617862	-11.144933	8436.08929836995	355.91070163004963
mscoco	init	max	8	2	10.241755	-5.934371	-13.751846	8539.030474840538	252.96952515946137	9.830539	-5.867115	-13.609289	8543.654145995748	248.34585400425232
mscoco	init	max	8	3	10.257968	-6.074541	-13.868771	8539.285613040396	252.71438695960313	9.868528	-6.0186925	-13.754111	8545.849751948972	246.15024805102763
mscoco	init	max	8	4	9.863739	-5.707947	-13.408666	8486.737774627923	305.26222537207656	9.456508	-5.66223	-13.271932	8490.704464918497	301.29553508150246
mscoco	init	max	8	5	9.92303	-6.8202634	-15.20097	8589.888731396173	202.11126860382709	9.689074	-6.7608495	-15.065612	8596.444365698086	195.55563430191353
mscoco	init	max	8	6	10.169761	-6.9330773	-15.33717	8612.154500354358	179.84549964564138	9.88667	-6.859432	-15.159504	8615.652728561305	176.34727143869597
mscoco	init	max	8	7	10.259698	-4.8428483	-12.1577	8399.153791637136	392.8462083628632	9.618364	-4.8218384	-12.081341	8407.525868178596	384.47413182140326
mscoco	init	max	8	8	10.072999	-7.194802	-15.384404	8619.316087880936	172.6839121190645	9.794983	-7.0800476	-15.205266	8618.885896527285	173.1141034727144
mscoco	init	max	9	0	9.393943	-6.3423853	-13.623541	8653.014916810098	138.98508318990247	9.438391	-6.3940573	-13.708487	8650.63224325875	141.36775674125073
mscoco	init	max	9	1	8.680869	-4.598754	-11.033134	8443.037865748709	348.9621342512909	8.864653	-4.648274	-11.146867	8443.025817555937	348.97418244406197
mscoco	init	max	9	2	10.546614	-5.852489	-13.603322	8535.542742398164	256.4572576018359	9.957113	-5.756071	-13.437995	8538.26678141136	253.73321858864028
mscoco	init	max	9	3	10.5253	-6.1852646	-14.169033	8531.24727481354	260.7527251864601	10.115413	-6.1056194	-13.991365	8536.975329890993	255.02467010900745
mscoco	init	max	9	4	10.377218	-6.5666566	-14.847774	8561.962707974757	230.03729202524383	10.009067	-6.453507	-14.57623	8562.548479632816	229.451520367183
mscoco	init	max	9	5	10.508436	-6.063874	-14.141853	8515.557659208262	276.4423407917384	10.014899	-5.9943137	-13.948376	8519.137119908204	272.8628800917958
mscoco	init	max	9	6	10.936151	-7.0115776	-15.675808	8593.341939185313	198.65806081468733	10.670862	-6.918617	-15.482152	8596.262765347103	195.7372346528973
mscoco	init	max	9	7	10.48501	-6.8877335	-15.471195	8606.839357429719	185.1606425702811	10.252681	-6.7959876	-15.259071	8606.401606425703	185.59839357429718
