dataset	architecture	distractor_name	cap_len	token_pos	chebyshev	cosine
mscoco	init	max	7	0	5.634544	0.01697811445123271
mscoco	init	max	7	1	6.069172	0.03428442933057484
mscoco	init	max	7	2	5.0494084	0.020271971037513332
mscoco	init	max	7	3	4.695689	0.015779030166174237
mscoco	init	max	7	4	4.580644	0.013648224504370438
mscoco	init	max	7	5	4.637708	0.01608456396742871
mscoco	init	max	7	6	4.776547	0.021861478686332703
mscoco	init	max	7	7	4.077611	0.009124278630080977
mscoco	init	max	8	0	5.43054	0.016520426976266777
mscoco	init	max	8	1	5.866761	0.03269014470041601
mscoco	init	max	8	2	5.114547	0.018275490768575906
mscoco	init	max	8	3	4.8990765	0.017293304226062216
mscoco	init	max	8	4	4.82885	0.018637641493434352
mscoco	init	max	8	5	4.4831896	0.012457510201665715
mscoco	init	max	8	6	4.47073	0.011694552288420397
mscoco	init	max	8	7	4.875153	0.02325011174109369
mscoco	init	max	8	8	4.0378866	0.00843478381253573
mscoco	init	max	9	0	5.6518354	0.016992600259600327
mscoco	init	max	9	1	6.029828	0.03357492670271497
mscoco	init	max	9	2	5.358503	0.019315712936158434
mscoco	init	max	9	3	5.07895	0.0179762969876047
mscoco	init	max	9	4	4.9798007	0.015470372761930464
mscoco	init	max	9	5	4.919822	0.01766153617761495
mscoco	init	max	9	6	4.56024	0.011740995663989227
mscoco	init	max	9	7	4.7274084	0.013084883089388367
mscoco	init	max	9	8	5.073757	0.024380132991968048
mscoco	init	max	9	9	4.2254086	0.008570094527147723
mscoco	init	max	10	0	5.6654453	0.0174381563685975
mscoco	init	max	10	1	6.0400357	0.03427089362774255
mscoco	init	max	10	2	5.2414284	0.018992658268730596
mscoco	init	max	10	3	5.070424	0.018616162718466993
mscoco	init	max	10	4	5.112158	0.019555743966462476
mscoco	init	max	10	5	4.8382387	0.015823340697108574
mscoco	init	max	10	6	4.714804	0.013635696498852856
mscoco	init	max	10	7	4.5595226	0.012896101036161747
mscoco	init	max	10	8	4.734486	0.013739998048206544
mscoco	init	max	10	9	5.014429	0.02338439124935078
mscoco	init	max	10	10	4.152674	0.008181438412306443
mscoco	init	max	11	0	5.7723403	0.01766268311110145
mscoco	init	max	11	1	6.1307898	0.03507763487258414
mscoco	init	max	11	2	5.462059	0.020801156212987337
mscoco	init	max	11	3	5.1356306	0.01835841923770011
mscoco	init	max	11	4	5.03825	0.016630580129060143
mscoco	init	max	11	5	5.0192866	0.01824777019485194
mscoco	init	max	11	6	4.6675234	0.012472993973073552
mscoco	init	max	11	7	4.8163166	0.016073883429564187
mscoco	init	max	11	8	4.6131396	0.013386530813034586
mscoco	init	max	11	9	4.747807	0.013382403646612848
mscoco	init	max	11	10	5.040053	0.02335601146740729
mscoco	init	max	11	11	4.184902	0.008036778439329501
mscoco	init	max	12	0	6.352483	0.02086536175218122
mscoco	init	max	12	1	6.85711	0.040534773263438
mscoco	init	max	12	2	5.9294147	0.02123450102477238
mscoco	init	max	12	3	6.0484457	0.027285032231232215
mscoco	init	max	12	4	5.5537515	0.0206181643338039
mscoco	init	max	12	5	5.427444	0.01645109982326113
mscoco	init	max	12	6	5.2937984	0.016357453218821823
mscoco	init	max	12	7	5.1826897	0.014998766368833082
mscoco	init	max	12	8	5.388633	0.015047038423603979
mscoco	init	max	12	9	5.700573	0.024098126025035464
mscoco	init	max	12	10	5.2635837	0.016464597706137032
mscoco	init	max	12	11	5.3977284	0.02586447370463404
mscoco	init	max	12	12	4.4461713	0.00860960987107507
mscoco	init	max	13	0	5.469388	0.015504081249237061
mscoco	init	max	13	1	5.677207	0.02876692533493042
mscoco	init	max	13	2	5.045992	0.01704432487487793
mscoco	init	max	13	3	4.6380124	0.014504733085632325
mscoco	init	max	13	4	4.7101097	0.01538275957107544
mscoco	init	max	13	5	4.406874	0.013625590801239014
mscoco	init	max	13	6	4.3876176	0.013933367729187011
mscoco	init	max	13	7	4.414021	0.012940893173217774
mscoco	init	max	13	8	4.202504	0.011967623233795166
mscoco	init	max	13	9	4.390075	0.01130375862121582
mscoco	init	max	13	10	4.356412	0.01224210262298584
mscoco	init	max	13	11	4.5584106	0.012177808284759522
mscoco	init	max	13	12	4.8017893	0.020424506664276122
mscoco	init	max	13	13	3.8138232	0.006609363555908203
mscoco	init	med	7	0	8.691083	0.035552918910980225
mscoco	init	med	7	1	9.824909	0.07196220559509177
mscoco	init	med	7	2	8.158587	0.0429550585778136
mscoco	init	med	7	3	7.594919	0.03632303170467678
mscoco	init	med	7	4	7.4756517	0.029435027194650548
mscoco	init	med	7	5	7.6926384	0.03651056948461031
