dataset	architecture	distractor_name	cap_len	token_pos	chebyshev	cosine
mscoco	init	max	7	0	1.2128316	0.2796858941253863
mscoco	init	max	7	1	1.1705712	0.32613790015641014
mscoco	init	max	7	2	1.1345295	0.2089528686514026
mscoco	init	max	7	3	1.1169387	0.1713474163491475
mscoco	init	max	7	4	1.1073189	0.15723172732089696
mscoco	init	max	7	5	1.1057237	0.1704061092122605
mscoco	init	max	7	6	1.0929838	0.18308039146818614
mscoco	init	max	7	7	1.0763947	0.13355386688521034
mscoco	init	max	8	0	1.1746362	0.2726946383566826
mscoco	init	max	8	1	1.1277257	0.3227161131455998
mscoco	init	max	8	2	1.1061399	0.20074386876749706
mscoco	init	max	8	3	1.0957451	0.18289292122690834
mscoco	init	max	8	4	1.0874422	0.1868494953735765
mscoco	init	max	8	5	1.0737082	0.15094681125342804
mscoco	init	max	8	6	1.0733889	0.1468459218212428
mscoco	init	max	8	7	1.0693988	0.1980708269554195
mscoco	init	max	8	8	1.0445231	0.12716270327399082
mscoco	init	max	9	0	1.1961234	0.28419182410680627
mscoco	init	max	9	1	1.1495638	0.3373473488816022
mscoco	init	max	9	2	1.1295727	0.20946812617730903
mscoco	init	max	9	3	1.1166208	0.18748944320695124
mscoco	init	max	9	4	1.1131365	0.17510316704308515
mscoco	init	max	9	5	1.1099597	0.18151193120256623
mscoco	init	max	9	6	1.1007981	0.1446603103164141
mscoco	init	max	9	7	1.1004076	0.15669791816775988
mscoco	init	max	9	8	1.0905521	0.20061488828300678
mscoco	init	max	9	9	1.0613927	0.12925289382349125
mscoco	init	max	10	0	1.202063	0.28593848201463806
mscoco	init	max	10	1	1.1528778	0.3377110611295925
mscoco	init	max	10	2	1.1370561	0.2086222508605921
mscoco	init	max	10	3	1.1320723	0.18933193008854704
mscoco	init	max	10	4	1.1191331	0.19299309709162082
mscoco	init	max	10	5	1.1139029	0.1692826398701038
mscoco	init	max	10	6	1.1077889	0.15596960940450993
mscoco	init	max	10	7	1.0990967	0.14313338890952884
mscoco	init	max	10	8	1.1016015	0.15395199184147818
mscoco	init	max	10	9	1.0955932	0.18667326091595415
mscoco	init	max	10	10	1.0670657	0.12119258096757925
mscoco	init	max	11	0	1.2279291	0.2939870055848372
mscoco	init	max	11	1	1.1743599	0.3493028467942158
mscoco	init	max	11	2	1.1543944	0.2197691682885475
mscoco	init	max	11	3	1.1469003	0.1839258647741951
mscoco	init	max	11	4	1.1391149	0.1860114484418434
mscoco	init	max	11	5	1.1306192	0.18633302509056332
mscoco	init	max	11	6	1.1245689	0.15391968685352148
mscoco	init	max	11	7	1.1213413	0.16983710481290176
mscoco	init	max	11	8	1.111145	0.1497934104347423
mscoco	init	max	11	9	1.1117165	0.15084471309257866
mscoco	init	max	11	10	1.1033113	0.18703124018162184
mscoco	init	max	11	11	1.0771974	0.12030330512771295
mscoco	init	max	12	0	1.2989278	0.3333974567980602
mscoco	init	max	12	1	1.249387	0.3874508626759052
mscoco	init	max	12	2	1.2435607	0.23339421276388497
mscoco	init	max	12	3	1.2377982	0.23777672879654785
mscoco	init	max	12	4	1.2215012	0.21402387834828476
mscoco	init	max	12	5	1.2242289	0.1879809984359248
mscoco	init	max	12	6	1.2287754	0.18766259915869812
mscoco	init	max	12	7	1.2243221	0.1662039826142377
mscoco	init	max	12	8	1.2175226	0.1756671834094771
mscoco	init	max	12	9	1.1919796	0.21574920158961725
mscoco	init	max	12	10	1.1801059	0.1616684863793439
mscoco	init	max	12	11	1.1837174	0.18083438791077713
mscoco	init	max	12	12	1.1512781	0.12663629445536384
mscoco	init	max	13	0	1.206615	0.26456424713134763
mscoco	init	max	13	1	1.1478871	0.3069378459453583
mscoco	init	max	13	2	1.1166925	0.1956494355201721
mscoco	init	max	13	3	1.1022989	0.16407211780548095
mscoco	init	max	13	4	1.0955215	0.1665188717842102
mscoco	init	max	13	5	1.0867813	0.14022874355316162
mscoco	init	max	13	6	1.1027257	0.1513534116744995
mscoco	init	max	13	7	1.095672	0.1492862606048584
mscoco	init	max	13	8	1.1118757	0.13616769313812255
mscoco	init	max	13	9	1.1166418	0.13113849878311157
mscoco	init	max	13	10	1.1096289	0.1350952935218811
mscoco	init	max	13	11	1.1073524	0.1231088399887085
mscoco	init	max	13	12	1.0962738	0.1582717251777649
