dataset	architecture	distractor_name	cap_len	token_pos	jsd
mscoco	init	max	7	0	0.054639818054918
mscoco	init	max	7	1	0.28168960292455986
mscoco	init	max	7	2	0.12420819279027216
mscoco	init	max	7	3	0.07674795324419392
mscoco	init	max	7	4	0.06989536872571248
mscoco	init	max	7	5	0.08972333624990968
mscoco	init	max	7	6	0.15776741613990453
mscoco	init	max	7	7	0.05282880793521671
mscoco	init	max	8	0	0.048358792855467354
mscoco	init	max	8	1	0.25258601090654964
mscoco	init	max	8	2	0.09640914920770843
mscoco	init	max	8	3	0.09007226112881053
mscoco	init	max	8	4	0.12793304806683833
mscoco	init	max	8	5	0.07280448370507653
mscoco	init	max	8	6	0.05796958274871364
mscoco	init	max	8	7	0.18192224802017554
mscoco	init	max	8	8	0.03608543573526654
mscoco	init	max	9	0	0.05127440737808851
mscoco	init	max	9	1	0.2701311882828938
mscoco	init	max	9	2	0.10808289940017475
mscoco	init	max	9	3	0.09951369515128346
mscoco	init	max	9	4	0.08625266831218201
mscoco	init	max	9	5	0.12365214395444042
mscoco	init	max	9	6	0.05822753822492047
mscoco	init	max	9	7	0.06578889523594324
mscoco	init	max	9	8	0.18801574420706277
mscoco	init	max	9	9	0.025808580352555864
mscoco	init	max	10	0	0.05154394079076636
mscoco	init	max	10	1	0.26501106326028984
mscoco	init	max	10	2	0.09579196698297618
mscoco	init	max	10	3	0.0999494307789939
mscoco	init	max	10	4	0.12462390814788757
mscoco	init	max	10	5	0.09707820656962178
mscoco	init	max	10	6	0.08496283607716604
mscoco	init	max	10	7	0.06490919725520315
mscoco	init	max	10	8	0.07089987564463755
mscoco	init	max	10	9	0.17638417605053033
mscoco	init	max	10	10	0.015085524576786483
mscoco	init	max	11	0	0.05435888226193332
mscoco	init	max	11	1	0.2793240300616792
mscoco	init	max	11	2	0.1282718937832872
mscoco	init	max	11	3	0.09622135314124954
mscoco	init	max	11	4	0.09106890548961379
mscoco	init	max	11	5	0.12096811631751073
mscoco	init	max	11	6	0.06289445002774063
mscoco	init	max	11	7	0.0965384300201477
mscoco	init	max	11	8	0.07363413773121988
mscoco	init	max	11	9	0.0717254252813439
mscoco	init	max	11	10	0.16158992201624553
mscoco	init	max	11	11	0.012237773814808445
mscoco	init	max	12	0	0.0671436755289725
mscoco	init	max	12	1	0.3379346208229404
mscoco	init	max	12	2	0.1065958472573145
mscoco	init	max	12	3	0.171021540733536
mscoco	init	max	12	4	0.10813389765249228
mscoco	init	max	12	5	0.09075397150886132
mscoco	init	max	12	6	0.09303497861275964
mscoco	init	max	12	7	0.07009089643324372
mscoco	init	max	12	8	0.06338540160882546
mscoco	init	max	12	9	0.1732350089339277
mscoco	init	max	12	10	0.06466945731114626
mscoco	init	max	12	11	0.14537637026392233
mscoco	init	max	12	12	0.010237666753929606
mscoco	init	max	13	0	0.05748673154041171
mscoco	init	max	13	1	0.21590116292238234
mscoco	init	max	13	2	0.09935890029242728
mscoco	init	max	13	3	0.062123877303674815
mscoco	init	max	13	4	0.08342442372813821
mscoco	init	max	13	5	0.07406890495767585
mscoco	init	max	13	6	0.06817365368799073
mscoco	init	max	13	7	0.085393959376961
mscoco	init	max	13	8	0.07205929920639392
mscoco	init	max	13	9	0.05695171562023461
mscoco	init	max	13	10	0.06051722460782912
mscoco	init	max	13	11	0.029751564249017974
mscoco	init	max	13	12	0.10363806940324138
mscoco	init	max	13	13	0.007076771703723352
mscoco	init	med	7	0	0.09248350071108066
mscoco	init	med	7	1	0.5023764266485446
mscoco	init	med	7	2	0.22677385145997456
mscoco	init	med	7	3	0.18847747522963082
mscoco	init	med	7	4	0.13607906102419962
mscoco	init	med	7	5	0.22579265448592578
mscoco	init	med	7	6	0.40542114364353965
mscoco	init	med	7	7	0.10689721736248191
mscoco	init	med	8	0	0.08007621736391787
mscoco	init	med	8	1	0.48449022574766065
mscoco	init	med	8	2	0.1967011892812163
mscoco	init	med	8	3	0.19272168684668042
mscoco	init	med	8	4	0.2784336105941764
mscoco	init	med	8	5	0.15618210129139687
mscoco	init	med	8	6	0.13291794977276347
mscoco	init	med	8	7	0.42108841460747404
mscoco	init	med	8	8	0.07403946240893931
mscoco	init	med	9	0	0.07902144854225761
mscoco	init	med	9	1	0.4707543449780925
mscoco	init	med	9	2	0.22581702305835588
mscoco	init	med	9	3	0.19387275632118528
mscoco	init	med	9	4	0.19513450802583418
mscoco	init	med	9	5	0.2582338570167827
mscoco	init	med	9	6	0.12267772733125089
mscoco	init	med	9	7	0.14712642565822712
mscoco	init	med	9	8	0.38557933938266903
mscoco	init	med	9	9	0.048180574106685824
mscoco	init	med	10	0	0.08130169161331822
mscoco	init	med	10	1	0.48061665082877536
mscoco	init	med	10	2	0.18742016063983066
mscoco	init	med	10	3	0.1947252483083537
mscoco	init	med	10	4	0.25741817226055747
mscoco	init	med	10	5	0.2059356370784783
mscoco	init	med	10	6	0.17355116364430598
mscoco	init	med	10	7	0.1334997718530801
mscoco	init	med	10	8	0.15335043379079408
mscoco	init	med	10	9	0.37985885613037473
mscoco	init	med	10	10	0.02683114529206233
mscoco	init	med	11	0	0.0752086795576281
mscoco	init	med	11	1	0.4715415640314946
mscoco	init	med	11	2	0.2292299313442151
mscoco	init	med	11	3	0.18136181826118802
mscoco	init	med	11	4	0.16289024452730783
mscoco	init	med	11	5	0.24552675417112044
mscoco	init	med	11	6	0.1268533241743973
mscoco	init	med	11	7	0.181254964209393
mscoco	init	med	11	8	0.1435934974652567
mscoco	init	med	11	9	0.14084030246551058
mscoco	init	med	11	10	0.3494795452452957
mscoco	init	med	11	11	0.021329327062479017
mscoco	init	med	12	0	0.08783311972490929
mscoco	init	med	12	1	0.4607910452539037
mscoco	init	med	12	2	0.12423631189210874
mscoco	init	med	12	3	0.26288239846551986
mscoco	init	med	12	4	0.1943289316480112
mscoco	init	med	12	5	0.13298289399182098
mscoco	init	med	12	6	0.13903055026533145
mscoco	init	med	12	7	0.11485204337516515
mscoco	init	med	12	8	0.10158281071336864
mscoco	init	med	12	9	0.3252730605882193
mscoco	init	med	12	10	0.12464737388930597
mscoco	init	med	12	11	0.26392669029277827
mscoco	init	med	12	12	0.012580313178816516
mscoco	init	med	13	0	0.07978829577565193
mscoco	init	med	13	1	0.4590128123760223
mscoco	init	med	13	2	0.1743077697767876
mscoco	init	med	13	3	0.15626663383096456
mscoco	init	med	13	4	0.24583476141095162
mscoco	init	med	13	5	0.2186692127797869
mscoco	init	med	13	6	0.1300844051715103
mscoco	init	med	13	7	0.18040003962814807
mscoco	init	med	13	8	0.13272147963114547
mscoco	init	med	13	9	0.13301250360906125
mscoco	init	med	13	10	0.21186977558361833
mscoco	init	med	13	11	0.10098500980762765
mscoco	init	med	13	12	0.2772316615737509
mscoco	init	med	13	13	0.013951244176132605
mscoco	init	min	7	0	0.08309535540664863
mscoco	init	min	7	1	0.5171965045952484
mscoco	init	min	7	2	0.26482955244960305
mscoco	init	min	7	3	0.20281311608720753
mscoco	init	min	7	4	0.15816671959940945
mscoco	init	min	7	5	0.24909075136517794
mscoco	init	min	7	6	0.45119307376750695
mscoco	init	min	7	7	0.11847323927979328
mscoco	init	min	8	0	0.0803852977322231
mscoco	init	min	8	1	0.5123221515212538
mscoco	init	min	8	2	0.2149004300054473
mscoco	init	min	8	3	0.21519828870059055
mscoco	init	min	8	4	0.30249429506252024
mscoco	init	min	8	5	0.17409013655561073
mscoco	init	min	8	6	0.15295269956920057
mscoco	init	min	8	7	0.4627113933044133
mscoco	init	min	8	8	0.0778824126883443
mscoco	init	min	9	0	0.08009741890494783
mscoco	init	min	9	1	0.5007701498818035
mscoco	init	min	9	2	0.24500208235894647
mscoco	init	min	9	3	0.22463759944636422
mscoco	init	min	9	4	0.22319239208973293
mscoco	init	min	9	5	0.2950810200083664
mscoco	init	min	9	6	0.1423316495831973
mscoco	init	min	9	7	0.16668603106411412
mscoco	init	min	9	8	0.4466453232478554
mscoco	init	min	9	9	0.05358791640835517
mscoco	init	min	10	0	0.08353757071220931
mscoco	init	min	10	1	0.5212066536382685
mscoco	init	min	10	2	0.20532482420742285
mscoco	init	min	10	3	0.23013411410914006
mscoco	init	min	10	4	0.2896847345924951
mscoco	init	min	10	5	0.2471727559222721
mscoco	init	min	10	6	0.2113991384807
mscoco	init	min	10	7	0.15380532406641337
mscoco	init	min	10	8	0.1752742388822676
mscoco	init	min	10	9	0.43344536353569707
mscoco	init	min	10	10	0.03244546753832662
mscoco	init	min	11	0	0.081095326949829
mscoco	init	min	11	1	0.514095874840883
mscoco	init	min	11	2	0.2534251710975364
mscoco	init	min	11	3	0.22750665462713845
mscoco	init	min	11	4	0.19778819870293357
mscoco	init	min	11	5	0.2865223899538984
mscoco	init	min	11	6	0.15430934945029057
mscoco	init	min	11	7	0.21880827673725464
mscoco	init	min	11	8	0.16077084658008656
mscoco	init	min	11	9	0.1589244613695125
mscoco	init	min	11	10	0.4170353964536381
mscoco	init	min	11	11	0.023981343000102563
mscoco	init	min	12	0	0.0927597778640559
mscoco	init	min	12	1	0.5074923885022772
mscoco	init	min	12	2	0.1440545101498895
mscoco	init	min	12	3	0.3305751628634833
mscoco	init	min	12	4	0.24859011130796843
mscoco	init	min	12	5	0.17438009435763574
mscoco	init	min	12	6	0.17808456910806225
mscoco	init	min	12	7	0.14267140016987656
mscoco	init	min	12	8	0.11546816996015595
mscoco	init	min	12	9	0.36465660989766735
mscoco	init	min	12	10	0.1484732656039153
mscoco	init	min	12	11	0.3361682092644483
mscoco	init	min	12	12	0.017079883786585735
mscoco	init	min	13	0	0.09239122435450554
mscoco	init	min	13	1	0.4902376914024353
mscoco	init	min	13	2	0.2166037362255156
mscoco	init	min	13	3	0.2557546734064817
mscoco	init	min	13	4	0.30034118160605433
mscoco	init	min	13	5	0.2984503365459386
mscoco	init	min	13	6	0.18231717288377694
mscoco	init	min	13	7	0.17490913793444635
mscoco	init	min	13	8	0.17206524126551812
mscoco	init	min	13	9	0.21010664004832505
mscoco	init	min	13	10	0.24315929818476434
mscoco	init	min	13	11	0.09762456363299861
mscoco	init	min	13	12	0.40107331530191004
mscoco	init	min	13	13	0.017899511964351404
mscoco	pre	max	7	0	0.0334726917185256
mscoco	pre	max	7	1	0.26077054589106813
mscoco	pre	max	7	2	0.10686501413015428
mscoco	pre	max	7	3	0.10459184287838715
mscoco	pre	max	7	4	0.07412674399071023
mscoco	pre	max	7	5	0.082248035474621
mscoco	pre	max	7	6	0.17945522481784607
mscoco	pre	max	7	7	0.05145677237580787
mscoco	pre	max	8	0	0.030682445018264667
mscoco	pre	max	8	1	0.2440235219683458
mscoco	pre	max	8	2	0.10561598456517628
mscoco	pre	max	8	3	0.08678279102085015
mscoco	pre	max	8	4	0.1450638446180464
mscoco	pre	max	8	5	0.07399740462562097
mscoco	pre	max	8	6	0.06277920281905561
mscoco	pre	max	8	7	0.2079975156473912
mscoco	pre	max	8	8	0.04233505237958427
mscoco	pre	max	9	0	0.036258934297888346
mscoco	pre	max	9	1	0.27036319193670777
mscoco	pre	max	9	2	0.10764430307097916
mscoco	pre	max	9	3	0.1162127685807698
mscoco	pre	max	9	4	0.09053952351470611
mscoco	pre	max	9	5	0.12807677333750966
mscoco	pre	max	9	6	0.06660303506585183
mscoco	pre	max	9	7	0.078637638168768
mscoco	pre	max	9	8	0.1964909918670904
mscoco	pre	max	9	9	0.031704535373278796
mscoco	pre	max	10	0	0.03519835302964029
mscoco	pre	max	10	1	0.2650007537102439
mscoco	pre	max	10	2	0.10481720551874285
mscoco	pre	max	10	3	0.11028690048857229
mscoco	pre	max	10	4	0.11672805529348286
mscoco	pre	max	10	5	0.11258893673642284
mscoco	pre	max	10	6	0.0888134321603695
mscoco	pre	max	10	7	0.0783827199523016
mscoco	pre	max	10	8	0.08381131879131172
mscoco	pre	max	10	9	0.1876450466624287
mscoco	pre	max	10	10	0.01738986390101826
