dataset	architecture	cap_len	token_pos	tag	freq	prop
mscoco	init	7	0	NUM	12	0.07894736842105263
mscoco	init	7	0	DET	139	0.9144736842105263
mscoco	init	7	0	NOUN	1	0.006578947368421052
mscoco	init	7	1	NOUN	130	0.8552631578947368
mscoco	init	7	1	ADJ	21	0.13815789473684212
mscoco	init	7	1	VERB	1	0.006578947368421052
mscoco	init	7	2	VERB	83	0.5460526315789473
mscoco	init	7	2	ADP	28	0.18421052631578946
mscoco	init	7	2	NOUN	38	0.25
mscoco	init	7	2	ADJ	3	0.019736842105263157
mscoco	init	7	3	VERB	46	0.3026315789473684
mscoco	init	7	3	DET	10	0.06578947368421052
mscoco	init	7	3	ADP	50	0.32894736842105265
mscoco	init	7	3	NOUN	23	0.1513157894736842
mscoco	init	7	3	PRT	8	0.05263157894736842
mscoco	init	7	3	ADJ	15	0.09868421052631579
mscoco	init	7	4	ADP	57	0.375
mscoco	init	7	4	NOUN	30	0.19736842105263158
mscoco	init	7	4	DET	50	0.32894736842105265
mscoco	init	7	4	PRT	14	0.09210526315789473
mscoco	init	7	4	CONJ	1	0.006578947368421052
mscoco	init	7	5	DET	71	0.46710526315789475
mscoco	init	7	5	VERB	4	0.02631578947368421
mscoco	init	7	5	NOUN	45	0.29605263157894735
mscoco	init	7	5	ADJ	8	0.05263157894736842
mscoco	init	7	5	CONJ	9	0.05921052631578947
mscoco	init	7	5	ADP	15	0.09868421052631579
mscoco	init	7	6	NOUN	149	0.9802631578947368
mscoco	init	7	6	PRON	3	0.019736842105263157
mscoco	init	8	0	DET	1386	0.9822820694542878
mscoco	init	8	0	NUM	23	0.01630049610205528
mscoco	init	8	0	ADJ	1	0.0007087172218284905
mscoco	init	8	0	NOUN	1	0.0007087172218284905
mscoco	init	8	1	NOUN	1155	0.8185683912119065
mscoco	init	8	1	ADJ	254	0.18001417434443656
mscoco	init	8	1	VERB	2	0.001417434443656981
mscoco	init	8	2	VERB	393	0.27852586817859676
mscoco	init	8	2	ADP	672	0.47625797306874557
mscoco	init	8	2	NOUN	276	0.19560595322466337
mscoco	init	8	2	CONJ	40	0.028348688873139617
mscoco	init	8	2	DET	9	0.0063784549964564135
mscoco	init	8	2	ADJ	19	0.013465627214741318
mscoco	init	8	2	PRT	2	0.001417434443656981
mscoco	init	8	3	VERB	299	0.21190644932671865
mscoco	init	8	3	DET	551	0.3905031892274982
mscoco	init	8	3	ADP	175	0.12402551381998582
mscoco	init	8	3	ADJ	64	0.04535790219702339
mscoco	init	8	3	NOUN	314	0.222537207654146
mscoco	init	8	3	CONJ	3	0.002126151665485471
mscoco	init	8	3	PRT	3	0.002126151665485471
mscoco	init	8	3	PRON	2	0.001417434443656981
mscoco	init	8	4	DET	118	0.08362863217576187
mscoco	init	8	4	NOUN	696	0.49326718639262934
mscoco	init	8	4	ADP	161	0.11410347271438696
mscoco	init	8	4	VERB	333	0.23600283486888732
mscoco	init	8	4	ADJ	59	0.041814316087880936
mscoco	init	8	4	PRT	43	0.03047484053862509
mscoco	init	8	4	ADV	1	0.0007087172218284905
mscoco	init	8	5	NOUN	212	0.15024805102763997
mscoco	init	8	5	CONJ	274	0.19418851878100638
mscoco	init	8	5	PRT	149	0.10559886605244508
mscoco	init	8	5	ADP	588	0.4167257264351524
mscoco	init	8	5	DET	140	0.09922041105598867
mscoco	init	8	5	VERB	36	0.025513819985825654
mscoco	init	8	5	PRON	8	0.005669737774627924
mscoco	init	8	5	ADJ	2	0.001417434443656981
mscoco	init	8	5	NUM	1	0.0007087172218284905
mscoco	init	8	5	ADV	1	0.0007087172218284905
mscoco	init	8	6	ADP	140	0.09922041105598867
mscoco	init	8	6	DET	985	0.6980864635010631
mscoco	init	8	6	CONJ	53	0.03756201275690999
mscoco	init	8	6	NOUN	135	0.0956768249468462
mscoco	init	8	6	ADJ	46	0.03260099220411056
mscoco	init	8	6	VERB	14	0.009922041105598866
mscoco	init	8	6	PRON	32	0.022678951098511695
mscoco	init	8	6	PRT	6	0.004252303330970942
mscoco	init	8	7	NOUN	1386	0.9822820694542878
mscoco	init	8	7	PRON	16	0.011339475549255847
mscoco	init	8	7	ADJ	3	0.002126151665485471
mscoco	init	8	7	ADV	4	0.002834868887313962
mscoco	init	8	7	VERB	2	0.001417434443656981
mscoco	init	9	0	DET	1732	0.993689041881813
mscoco	init	9	0	NUM	11	0.006310958118187034
mscoco	init	9	1	NOUN	1274	0.7309236947791165
mscoco	init	9	1	ADJ	469	0.26907630522088355
mscoco	init	9	2	VERB	532	0.30522088353413657
mscoco	init	9	2	ADP	493	0.28284566838783703
mscoco	init	9	2	ADJ	35	0.020080321285140562
mscoco	init	9	2	NOUN	447	0.25645438898450945
mscoco	init	9	2	CONJ	235	0.13482501434308664
mscoco	init	9	2	ADV	1	0.0005737234652897303
mscoco	init	9	3	ADJ	202	0.11589213998852553
mscoco	init	9	3	PRT	31	0.01778542742398164
mscoco	init	9	3	ADP	501	0.2874354561101549
mscoco	init	9	3	NOUN	403	0.23121055651176134
mscoco	init	9	3	VERB	387	0.22203098106712565
mscoco	init	9	3	CONJ	22	0.012621916236374068
mscoco	init	9	3	DET	195	0.11187607573149742
mscoco	init	9	3	ADV	2	0.0011474469305794606
mscoco	init	9	4	PRT	21	0.012048192771084338
mscoco	init	9	4	NOUN	477	0.2736660929432014
mscoco	init	9	4	DET	577	0.33103843947217443
mscoco	init	9	4	VERB	318	0.18244406196213425
mscoco	init	9	4	ADP	245	0.14056224899598393
mscoco	init	9	4	ADJ	73	0.04188181296615032
mscoco	init	9	4	CONJ	30	0.01721170395869191
mscoco	init	9	4	ADV	2	0.0011474469305794606
mscoco	init	9	5	DET	136	0.07802639127940333
mscoco	init	9	5	ADP	238	0.13654618473895583
mscoco	init	9	5	NOUN	903	0.5180722891566265
mscoco	init	9	5	ADJ	147	0.08433734939759036
mscoco	init	9	5	VERB	257	0.1474469305794607
mscoco	init	9	5	CONJ	20	0.011474469305794608
mscoco	init	9	5	PRT	41	0.023522662076878944
mscoco	init	9	5	ADV	1	0.0005737234652897303
mscoco	init	9	6	ADJ	9	0.0051635111876075735
mscoco	init	9	6	PRT	217	0.12449799196787148
mscoco	init	9	6	ADP	941	0.5398737808376363
mscoco	init	9	6	DET	268	0.15375788869764773
mscoco	init	9	6	NOUN	185	0.10613884107860011
mscoco	init	9	6	VERB	53	0.030407343660355707
mscoco	init	9	6	CONJ	69	0.039586919104991396
mscoco	init	9	6	PRON	1	0.0005737234652897303
mscoco	init	9	7	NOUN	236	0.13539873780837636
mscoco	init	9	7	DET	1171	0.6718301778542742
mscoco	init	9	7	ADP	141	0.08089500860585198
mscoco	init	9	7	ADJ	82	0.04704532415375789
mscoco	init	9	7	PRON	59	0.03384968445209409
mscoco	init	9	7	VERB	31	0.01778542742398164
mscoco	init	9	7	CONJ	22	0.012621916236374068
mscoco	init	9	7	PRT	1	0.0005737234652897303
mscoco	init	9	8	NOUN	1618	0.9282845668387837
mscoco	init	9	8	ADJ	80	0.04589787722317843
mscoco	init	9	8	PRON	38	0.021801491681009755
mscoco	init	9	8	ADV	1	0.0005737234652897303
mscoco	init	9	8	VERB	3	0.0017211703958691911
mscoco	init	9	8	ADP	3	0.0017211703958691911
mscoco	init	10	0	DET	1037	0.9783018867924528
mscoco	init	10	0	NUM	23	0.02169811320754717
mscoco	init	10	1	NOUN	882	0.8320754716981132
mscoco	init	10	1	ADJ	177	0.1669811320754717
mscoco	init	10	1	VERB	1	0.0009433962264150943
mscoco	init	10	2	ADP	388	0.3660377358490566
mscoco	init	10	2	ADJ	16	0.01509433962264151
mscoco	init	10	2	VERB	431	0.4066037735849057
mscoco	init	10	2	NOUN	147	0.13867924528301886
mscoco	init	10	2	CONJ	76	0.07169811320754717
mscoco	init	10	2	DET	2	0.0018867924528301887
mscoco	init	10	3	DET	325	0.30660377358490565
mscoco	init	10	3	NOUN	222	0.20943396226415095
mscoco	init	10	3	ADP	184	0.17358490566037735
mscoco	init	10	3	ADJ	104	0.09811320754716982
mscoco	init	10	3	VERB	184	0.17358490566037735
mscoco	init	10	3	PRT	39	0.03679245283018868
mscoco	init	10	3	CONJ	2	0.0018867924528301887
mscoco	init	10	4	NOUN	419	0.39528301886792455
mscoco	init	10	4	VERB	194	0.1830188679245283
mscoco	init	10	4	DET	206	0.19433962264150945
mscoco	init	10	4	ADP	174	0.1641509433962264
mscoco	init	10	4	ADJ	31	0.029245283018867925
mscoco	init	10	4	PRT	27	0.02547169811320755
mscoco	init	10	4	CONJ	5	0.0047169811320754715
mscoco	init	10	4	PRON	4	0.0037735849056603774
mscoco	init	10	5	ADP	319	0.3009433962264151
mscoco	init	10	5	NOUN	330	0.3113207547169811
mscoco	init	10	5	VERB	121	0.11415094339622642
mscoco	init	10	5	DET	183	0.17264150943396225
mscoco	init	10	5	PRT	38	0.035849056603773584
mscoco	init	10	5	CONJ	42	0.03962264150943396
mscoco	init	10	5	ADJ	27	0.02547169811320755
